rol|permiso|accion|habilitado
admin|campo|editar|true
admin|campo|ver|true
admin|casilleros_texto|editar|true
admin|configurar|editar|true
admin|configurar|ver|true
admin|consistencias|editar|true
admin|encuestas|ingresar|true
admin|encuestas|justificar|true
admin|encuestas|procesar|true
admin|lab_resultado|editar|true
admin|lab_resultado|ver|true
coor_campo|campo|editar|true
coor_campo|campo|ver|true
coor_campo|casilleros_texto|editar|false
coor_campo|configurar|editar|true
coor_campo|configurar|ver|true
coor_campo|consistencias|editar|true
coor_campo|encuestas|ingresar|true
coor_campo|encuestas|justificar|true
coor_campo|encuestas|procesar|true
coor_campo|lab_resultado|editar|false
coor_campo|lab_resultado|ver|true
direccion|campo|editar|true
direccion|campo|ver|true
direccion|casilleros_texto|editar|false
direccion|configurar|editar|true
direccion|configurar|ver|true
direccion|consistencias|editar|true
direccion|encuestas|ingresar|true
direccion|encuestas|justificar|true
direccion|encuestas|procesar|true
direccion|lab_resultado|editar|false
direccion|lab_resultado|ver|true
dis_conceptual|campo|editar|false
dis_conceptual|campo|ver|true
dis_conceptual|casilleros_texto|editar|true
dis_conceptual|configurar|editar|false
dis_conceptual|configurar|ver|true
dis_conceptual|consistencias|editar|false
dis_conceptual|encuestas|ingresar|false
dis_conceptual|encuestas|justificar|false
dis_conceptual|encuestas|procesar|false
dis_conceptual|lab_resultado|editar|false
dis_conceptual|lab_resultado|ver|false
jefe_equipo|campo|editar|true
jefe_equipo|campo|ver|true
jefe_equipo|casilleros_texto|editar|false
jefe_equipo|configurar|editar|false
jefe_equipo|configurar|ver|false
jefe_equipo|consistencias|editar|false
jefe_equipo|encuestas|ingresar|true
jefe_equipo|encuestas|justificar|true
jefe_equipo|encuestas|procesar|true
jefe_equipo|lab_resultado|editar|false
jefe_equipo|lab_resultado|ver|false
jefe_lab|campo|editar|false
jefe_lab|campo|ver|false
jefe_lab|casilleros_texto|editar|false
jefe_lab|configurar|editar|true
jefe_lab|configurar|ver|false
jefe_lab|consistencias|editar|false
jefe_lab|encuestas|ingresar|true
jefe_lab|encuestas|justificar|false
jefe_lab|encuestas|procesar|false
jefe_lab|lab_resultado|editar|true
jefe_lab|lab_resultado|ver|true
lab|campo|editar|false
lab|campo|ver|false
lab|casilleros_texto|editar|false
lab|configurar|editar|false
lab|configurar|ver|false
lab|consistencias|editar|false
lab|encuestas|ingresar|false
lab|encuestas|justificar|false
lab|encuestas|procesar|false
lab|lab_resultado|editar|true
lab|lab_resultado|ver|true
procesamiento|campo|editar|false
procesamiento|campo|ver|false
procesamiento|casilleros_texto|editar|false
procesamiento|configurar|editar|false
procesamiento|configurar|ver|false
procesamiento|consistencias|editar|true
procesamiento|encuestas|ingresar|true
procesamiento|encuestas|justificar|true
procesamiento|encuestas|procesar|true
procesamiento|lab_resultado|editar|false
procesamiento|lab_resultado|ver|false
recepcionista|campo|editar|true
recepcionista|campo|ver|true
recepcionista|casilleros_texto|editar|false
recepcionista|configurar|editar|true
recepcionista|configurar|ver|true
recepcionista|consistencias|editar|false
recepcionista|encuestas|ingresar|true
recepcionista|encuestas|justificar|true
recepcionista|encuestas|procesar|false
recepcionista|lab_resultado|editar|false
recepcionista|lab_resultado|ver|false
relevador|campo|editar|false
relevador|campo|ver|false
relevador|casilleros_texto|editar|false
relevador|configurar|editar|false
relevador|configurar|ver|false
relevador|consistencias|editar|false
relevador|encuestas|ingresar|true
relevador|encuestas|justificar|true
relevador|encuestas|procesar|false
relevador|lab_resultado|editar|false
relevador|lab_resultado|ver|false
